City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,greenville,35.6127,-77.3663,9.52,61,0,0.89,US,1700370747
1,isafjordur,66.0755,-23.124,3.4,89,100,1.31,IS,1700371013
2,adamstown,-25.066,-130.1015,21.8,87,100,9.46,PN,1700371013
3,hotan,37.0997,79.9269,9.48,15,81,1.3,CN,1700371000
4,ulladulla,-35.35,150.4667,35.98,55,16,8.47,AU,1700370946
5,anaco,9.4389,-64.4728,24.25,84,52,4.69,VE,1700371014
6,hinton,53.4001,-117.5857,1.71,79,89,2.66,CA,1700371014
7,invercargill,-46.4,168.35,13.9,59,46,4.02,NZ,1700370754
8,mossel bay,-34.1831,22.146,15.96,71,100,0.92,ZA,1700371015
9,tiksi,71.6872,128.8694,-30.48,100,64,2.51,RU,1700371016
10,waitangi,-43.9535,-176.5597,10.46,95,100,2.68,NZ,1700371016
11,nova sintra,14.8667,-24.7167,23.26,63,93,5.59,CV,1700371016
12,tolanaro,-25.0319,46.9987,26.12,71,2,5.08,MG,1700371017
13,marrakesh,31.6315,-8.0083,14.04,54,0,1.54,MA,1700370865
14,sabzevar,36.2126,57.6819,15.4,55,5,1.31,IR,1700370827
15,aasiaat,68.7098,-52.8699,-3.35,91,100,4.3,GL,1700371017
16,port elizabeth,-33.918,25.5701,19.62,85,0,4.12,ZA,1700371017
17,east london,-33.0153,27.9116,20.52,94,100,4.12,ZA,1700370727
18,bredasdorp,-34.5322,20.0403,17.65,76,100,1.78,ZA,1700371018
19,bethel,41.3712,-73.414,3.2,72,0,0.45,US,1700371018
20,iqaluit,63.7506,-68.5145,-3.15,73,100,2.57,CA,1700371018
21,guerrero negro,27.9769,-114.0611,19.09,82,10,8.44,MX,1700371019
22,port-aux-francais,-49.35,70.2167,5.14,92,97,10.59,TF,1700371019
23,carnarvon,-24.8667,113.6333,27.93,57,2,7.39,AU,1700371019
24,yellowknife,62.456,-114.3525,-3.66,97,100,5.66,CA,1700371019
25,mahdia,35.5047,11.0622,14.97,72,37,4.13,TN,1700370863
26,fale old settlement,-9.3852,-171.2468,29.51,76,56,8.31,TK,1700371020
27,hawaiian paradise park,19.5933,-154.9731,22.73,90,100,2.57,US,1700371021
28,klyuchi,52.2667,79.1667,-0.47,66,100,9.35,RU,1700371021
29,baruun-urt,46.6806,113.2792,-4.1,84,5,3.31,MN,1700371022
30,kalajoki,64.25,23.95,-2.27,97,47,3.54,FI,1700371022
31,save,8.0425,2.486,24.63,85,70,1.6,BJ,1700371023
32,punta arenas,-53.15,-70.9167,3.06,60,0,5.66,CL,1700370953
33,urangan,-25.3,152.9,23.37,69,100,5.15,AU,1700371024
34,isfana,39.8386,69.5306,6.31,57,100,0.84,KG,1700371024
35,blackmans bay,-43.0167,147.3167,18.07,72,88,2.95,AU,1700371025
36,ushuaia,-54.8,-68.3,0.81,69,75,10.8,AR,1700371025
37,saint-pierre,-21.3393,55.4781,25.87,65,75,5.66,RE,1700370829
38,longyearbyen,78.2186,15.6401,-13.09,72,75,5.14,SJ,1700371026
39,abbeville,50.1,1.8333,13.98,88,41,8.24,FR,1700370866
40,sinabang,2.4803,96.3801,28.04,78,97,1.49,ID,1700371026
41,edinburgh of the seven seas,-37.0676,-12.3116,12.91,84,43,16.72,SH,1700371027
42,st. john's,47.5649,-52.7093,12.04,94,100,11.32,CA,1700371027
43,kerikeri,-35.2268,173.9474,20.51,89,55,0.45,NZ,1700371027
44,lerwick,60.1545,-1.1494,7.87,93,100,16.14,GB,1700371028
45,isangel,-19.55,169.2667,26.06,74,74,4.83,VU,1700371028
46,shihezi,44.3,86.0333,10.21,32,100,2.51,CN,1700371029
47,susuman,62.7833,148.1667,-27.02,99,89,0.84,RU,1700371029
48,dudinka,69.4058,86.1778,-25.77,99,55,3.4,RU,1700370842
49,motygino,58.1831,94.7592,4.32,93,100,4.47,RU,1700371030
50,macapa,0.0389,-51.0664,27.99,78,0,3.09,BR,1700370868
